fsq_category_id,cluster_id
Herbs and Spices Store,449
Hiking Trail,450
Historic and Protected Site,451
Hobby Store,452
Home Inspection,453
Homeless Shelter,454
Honduran Restaurant,455
Hong Kong Restaurant,456
Hospice,457
Hot Air Balloon Tour Agency,458
Hot Dog Joint,459
Hot Spring,460
Hotel Bar,461
Huaiyang Restaurant,462
Hubei Restaurant,463
Human Resources Agency,464
IT Service,465
Ice Bar,466
Ice Cream Parlor,467
Immigration Attorney,468
Imperial Restaurant,469
Imported Food Store,470
Indian Chinese Restaurant,471
Indian Sweet Shop,472
Indonesian Meatball Restaurant,473
Indoor Play Area,474
Industrial Estate,475
Insurance Agency,476
Internet Cafe,477
Intersection,478
Island,479
Jain Restaurant,480
Japanese Curry Restaurant,481
Jazz and Blues Venue,482
Jewelry Store,483
Juice Bar,484
Karnataka Restaurant,485
Kebab Restaurant,486
Kerala Restaurant,487
Kingdom Hall,488
Kitchen Remodeler,489
Knitting Store,490
Kofte Place,491
Korean BBQ Restaurant,492
Korean Restaurant,493
Kurdish Restaurant,494
LGBTQ Organization,495
Labor Union,496
Labour Canteen,497
Landscaper and Gardener,498
Language School,499
Laser Tag Center,500
Lighthouse,501
Limo Service,502
Line,503
Locksmith,504
Logging Service,505
Lombard Restaurant,506
Lounge,507
Lyonese Bouchon,508
Mac and Cheese Joint,509
Macanese Restaurant,510
Magirio,511
Maharashtrian Restaurant,512
Malay Restaurant,513
Malga,514
Mamak Restaurant,515
Manchu Restaurant,516
Manti Place,517
Marche Restaurant,518
Marijuana Dispensary,519
Marine Terminal,520
Martial Arts Dojo,521
Massage Clinic,522
Maternity Clinic,523
Mattress Store,524
Mauritian Restaurant,525
Medical Lab,526
Medical School,527
Medical Supply Store,528
Mediterranean Restaurant,529
Men's Store,530
Meyhane,531
Meze Restaurant,532
Middle Eastern Restaurant,533
Mineiro Restaurant,534
Mobility Store,535
Molecular Gastronomy Restaurant,536
Monjayaki Restaurant,537
Moped Dealership,538
Moroccan Restaurant,539
Mosque,540
Mover,541
Moving Target,542
Mughlai Restaurant,543
Multicuisine Indian Restaurant,544
Multiplex,545
Music School,546
NaN,547
Nabe Restaurant,548
Nature Preserve,549
Neighborhood,550
Neurologist,551
Night Market,552
Noodle Restaurant,553
Norman Restaurant,554
Notary,555
Nurse,556
Nursery School,557
Nursing Home,558
Nutritionist,559
Obstetrician Gynecologist (Ob-gyn),560
Office Supply Store,561
Oil Change Service,562
Okonomiyaki Restaurant,563
Oncologist,564
Opera House,565
Organic Grocery,566
Other Healthcare Professional,567
Outdoor Supply Store,568
Pachinko Parlor,569
Padangnese Restaurant,570
Paella Restaurant,571
Paintball Field,572
Painter,573
Palatine Restaurant,574
Paper Supplier,575
Parade,576
Parking,577
Party Center,578
Party Supply Store,579
Pawn Shop,580
Pediatrician,581
Peking Duck Restaurant,582
Performing Arts Venue,583
Personal Trainer,584
Pest Control Service,585
Petroleum Supplier,586
Piano Bar,587
Pie Shop,588
Piedmontese Restaurant,589
Pilates Studio,590
Pilavcı,591
Plastic Surgeon,592
Platform,593
Plumber,594
Poke Restaurant,595
Police Station,596
Polling Place,597
Pop-Up Store,598
Port,599
Post Office,600
Print Store,601
Prison,602
Private Airport,603
Probation Office,604
Psychic and Astrologer,605
Public Relations Firm,606
Publisher,607
Punjabi Restaurant,608
RV and Motorhome Dealership,609
Radiologist,610
Ramen Restaurant,611
Record Store,612
Recording Studio,613
Refrigeration and Ice Supplier,614
Residential Building,615
Resort,616
Respiratory Doctor,617
Rest Area,618
Retirement Home,619
Road,620
Rock Climbing Spot,621
Rock Club,622
Romagna Restaurant,623
Romanian Restaurant,624
Roofer,625
Running Club,626
Sailing Club,627
Salad Restaurant,628
Salsa Club,629
Salvage Yard,630
Samba School,631
